 	ActiveWear								
BHG_Certification_Easy_Desc	バウンティ・ハンターズ・ギルドは、あなたの能力を評価して、Tracker Beginner's Permitを取得する機会を提供します。\n\nこの許可証は、あなたがLow-Risk Targets (LRT)を追跡して逮捕する資格があることを示します。\n\nこの許可証を取得するには、~mission(Location|Address) で目撃された ~mission(TargetName)という名前のLRTランクの犯罪者を逮捕しなければなりません。								
BHG_Certification_Easy_Title	トラッカー初級許可証認証								
BHG_Certification_EscapedConvict_Desc	逃亡者の増加に伴い、バウンティ・ハンターズ・ギルドは、あなたに「逃亡者回収証明書」を取得する機会を提供したいと思います。\n\nこの資格を取得するためには、逃亡者 ~mission(TargetName) を逮捕する必要があります。\n								
BHG_Certification_EscapedConvict_Title	逃亡者回収証明書								
BHG_Certification_Hard_Desc	バウンティ・ハンターズ・ギルドは、あなたにJourneyman Tracker Licenseを取得する機会を提供します。\n\nこのライセンスは、あなたがHigh-Risk Targets (HRT)を追跡し、逮捕する資格を持っていることを意味します。このような犯罪者は、複数の護衛をつけた大型のマルチクルー船で移動することができます。\n\nこの資格を取得するためには、HRTランクの犯罪者を、~mission(Location|Address) で目撃された ~mission(TargetName) という名前の人物を逮捕しなければなりません。								
BHG_Certification_Hard_Title	ジャーニーマントラッカーライセンス認証								
BHG_Certification_Medium_Desc	このライセンスは、Moderate-Risk Targets (MRT)を追跡し、逮捕する資格があることを示すものです。これらの犯罪者は、通常、複数の護衛をつけた中型の船に乗っています。このライセンスを取得するためには、MRTランクの犯罪者を、~mission(Location|Address) で目撃された ~mission(TargetName) という名前の人物を逮捕しなければなりません。								
BHG_Certification_Medium_Title	トラッカーライセンス認定								
BHG_Certification_Super_Desc	バウンティ・ハンターズ・ギルドは、あなたの専門技術を認め、Master Tracker Licenseを取得する機会を提供します。\n\nこのライセンスは、あなたがExtreme-Risk Targets（ERT）を追跡し、逮捕する資格を持っていることを意味します。厳重な護衛付きのサブキャピタル船で移動する犯罪者たちです。このクラスのバウンティは、最も経験豊富なトラッカーにのみ割り当てられます。\n\nこの認定プロセスを成功させるには、~mission(Location|Address) で最後に目撃された ~mission(TargetName) という名前のERTランクの犯罪者を逮捕しなければなりません。								
BHG_Certification_Super_Title	マスタートラッカーライセンス認定								
BHG_Certification_VeryEasy_Desc	バウンティ・ハンターズ・ギルドは、あなたの能力を評価した上で、Tracker Training Permitを取得する機会を提供します。\n\nこの許可証は、あなたがVery Low-Risk Targets (VLRT)を追跡し、逮捕する資格を持っていることを意味します。このような犯罪者は小型の船に乗り、複数の護衛をつけることはほとんどありません。\n\nこの許可証を取得するためには、 ~mission(Location|Address) で最後に目撃された ~mission(TargetName) という名前のVLRTランクの犯罪者を逮捕しなければなりません。								
BHG_Certification_VeryEasy_Title	トラッカー訓練許可証認定								
BHG_Certification_VeryHard_Desc	あなたの実績をもとに、バウンティ・ハンターズ・ギルドは上級トラッカー・ライセンスを取得するチャンスを提供します。\n\nこのライセンスは、あなたがVery High-Risk Targets（VHRT）を追跡し、逮捕する資格があることを意味します。このような犯罪者は、重い護衛付きの大型マルチクルー船で移動することができます。\n\nこのライセンスを取得するには、VHRTランクの犯罪者を ~mission(Location|Address) で最後に目撃された ~mission(TargetName) という名前の人物を逮捕しなければなりません。								
BHG_Certification_VeryHard_Title	上級トラッカーライセンス認定								
BHG_From	バウンティ・ハンターズ・ギルド								
BHG_ReputationJournal_CS3_BodyText	あなたはバウンティ・ハンターズ・ギルドから容疑者逮捕の認定を受け、法で裁かれている人物を追跡し逮捕する資格を得ます。								
BHG_ReputationJournal_CS3_ShortTitle	容疑者逮捕の認定を受ける								
BHG_ReputationJournal_CS3_Title	容疑者逮捕の認定								
BHG_ReputationJournal_CS4_BodyText	[PH] Elusive バウンティ CS4 ライセンス取得								
BHG_ReputationJournal_CS4_ShortTitle	[PH] Elusive バウンティ CS4 ライセンス取得								
BHG_ReputationJournal_CS4_Title	[PH] Elusive バウンティ CS4 ライセンス取得								
BHG_ReputationJournal_CS5_BodyText	[PH] Elusive バウンティ CS5 ライセンス取得								
BHG_ReputationJournal_CS5_ShortTitle	[PH] Elusive バウンティ CS5 ライセンス取得								
BHG_ReputationJournal_CS5_Title	[PH] Elusive バウンティ CS5 ライセンス取得								
BHG_ReputationJournal_Easy_BodyText	バウンティ・ハンターズ・ギルドが発行するこの許可証は、あなたがLow-Risk Targets (LRT)を追いかけて逮捕する資格があることを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_Easy_ShortTitle	トラッカー初級許可証取得 (LRT)								
BHG_ReputationJournal_Easy_Title	トラッカー初級許可証(LRT)								
BHG_ReputationJournal_EscapedConvict_BodyText	あなたはバウンティ・ハンターズ・ギルドから逃亡者回収の認定を受け、脱走した囚人を追跡して逮捕する資格を得ました。								
BHG_ReputationJournal_EscapedConvict_ShortTitle	逃亡者回収の認定を受ける								
BHG_ReputationJournal_EscapedConvict_Title	逃亡者救助資格								
BHG_ReputationJournal_Hard_BodyText	バウンティ・ハンターズ・ギルドが発行するこのライセンスは、ハイリスクターゲット（HRT）を追跡・逮捕する資格があることを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_Hard_ShortTitle	ジャーニーマントラッカーライセンス取得 (HRT)								
BHG_ReputationJournal_Hard_Title	ジャーニーマントラッカーライセンス(HRT)								
BHG_ReputationJournal_Medium_BodyText	バウンティ・ハンターズ・ギルドが発行するこのライセンスは、中程度のリスクを持つターゲット（MRT）を追跡し、逮捕する資格があることを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_Medium_ShortTitle	トラッカーライセンス取得（MRT）								
BHG_ReputationJournal_Medium_Title	トラッカーライセンス(MRT)								
BHG_ReputationJournal_Super_BodyText	バウンティ・ハンターズ・ギルドが発行するこのライセンスは、Extreme-Risk Targets (ERT)を追跡・逮捕する資格があることを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_Super_ShortTitle	マスター・トラッカー・ライセンスの取得（ERT）								
BHG_ReputationJournal_Super_Title	マスター・トラッカー・ライセンス(ERT)								
BHG_ReputationJournal_VeryEasy_BodyText	バウンティ・ハンターズ・ギルドが発行するこのライセンスは、Very Low-Risk Targets (VLRT)を追跡・逮捕する資格を有することを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_VeryEasy_ShortTitle	トラッカー訓練許可証取得（VLRT)								
BHG_ReputationJournal_VeryEasy_Title	トラッカー訓練許可証（VLRT)								
BHG_ReputationJournal_VeryHard_BodyText	バウンティ・ハンターズ・ギルドが発行するこのライセンスは、Very High-Risk Targets (VHRT)を追跡・逮捕する資格があることを証明するものです。\n\nまた、この資格は、現在の能力や資源が不明な(?RT)個人のバウンティを追求することができます。これらは慎重に行う必要があります。								
BHG_ReputationJournal_VeryHard_ShortTitle	上級トラッカーライセンス取得（VHRT)								
BHG_ReputationJournal_VeryHard_Title	アドバンストトラッカーライセンス（VHRT）								
Bacchus	バッカス星系								
Bacchus1	バッカスI								
Bacchus1_Desc	連星の近くにあるスーパーアースで、岩石質の表面が沸騰し、信じられないほど高温でスモッグ状の大気が形成されている。								
Bacchus2	バッカスII								
Bacchus2_Desc	人口の多い島々や群島が点在する海洋惑星で、多様な気候と生物多様性が特徴である。UEEの説のようにバッカスIIが彼らの故郷であるかどうかは今のところ確認されていないが、この惑星では「ギャザリング」と呼ばれる、バヌーが種族全体の意思決定を行うために集まる特別なイベントが開催されることが知られている。								
Bacchus3	バッカスIII								
Bacchus3_Desc	ダイナミックな渦巻き状の雲と頻繁に発生する電気嵐が特徴のガス惑星。								
Bacchus_AsteroidBelt1	バッカス・ベルト・アルファ								
Bacchus_AsteroidBelt1_Desc	バヌー族が何世代にもわたって採掘し続けてきた小惑星帯で、時間の経過とともに廃品回収場と化している。								
Bacchus_Desc	UEEの多くの人々は、連星系であるバッカスにバヌーの故郷があると信じているが、現在までのところ、バヌー自身はどちらであるかを確認できていないし、確認しないことにしている。他のバヌ星系と同様に、通商路はバヌー星系、人類、シーアンの旅行者で常に賑わっている。星系外縁部に常設されている大きな船団は、運搬船や貿易船の人気スポットとなっている。\n								
Bacchus_Flotilla	バッカス船団								
Bacchus_Flotilla_Desc	常設の水上マーケットとなっている大型船の群れ。ジャンプポイントに近い便利な場所にあるため、星系を出入りする様々な旅行者や商人が集まる。  								
Bacchus_JumpPoint_Garron	バッカス - ギャロン間のジャンプポイント								
Bacchus_JumpPoint_Garron_Desc	バッカスとUEE支配下のギャロン星系を結ぶジャンプポイント。								
Bacchus_JumpPoint_Geddon	バッカス - ゲドン・ジャンプポイント								
Bacchus_JumpPoint_Geddon_Desc	バッカスをゲドン星系に接続するジャンプポイントである。								
Bacchus_Star1	バッカスA								
Bacchus_Star1_Desc	バッカスBと2つのペアを組むG級主系列星。								
Bacchus_Star2	バッカスB								
Bacchus_Star2_Desc	バッカスBとバイナリーペアを組んでいるK級主系列星。								
BarMenu_Cognac	コニャック								
BarMenu_Gin	ジン								
BarMenu_Rum	ラム酒								
BarMenu_SubMenu_Beer	ビール								
BarMenu_SubMenu_Liquor	お酒								
BarMenu_Tequila	テキーラ								
BarMenu_Vodka	ウォッカ								
BarMenu_Whiskey	ウイスキー								
BarMenu_WhiskeyCola	ウイスキー＆コーラ（8UEC）								
BarMenu_beer_bottle_Hoffdor	ホフドービールボトル (5 UEC)								
BarMenu_beer_bottle_LibertyAleGen	ジェンリバティエールボトル（5 UEC）								
BarMenu_beer_bottle_LibertyAlePike	パイクリバティエールボトル (5 UEC)								
BarMenu_beer_bottle_LibertyAleTerra	テラリバティエールボトル (5 UEC)								
BarMenu_beer_bottle_SmoltzLight	スモルツ・ライト・ビール・ボトル (5 UEC)								
BarMenu_beer_bottle_smoltz	スモルツボトル (5 UEC)								
BarMenu_beer_draft_01	ドラフトビール1 (7 UEC)								
BarMenu_beer_draft_02	ドラフトビール2 (7 UEC)								
BarMenu_beer_draft_03	ドラフトビール3 (7 UEC)								
BarMenu_beer_draft_04	ドラフトビール4 (7 UEC)								
BarMenu_beer_draft_05	ドラフトビール5 (7 UEC)								
BarMenu_beer_draft_06	ドラフトビール6 (7 UEC)								
BarMenu_beer_draft_Hoffdor	ホフドール・ビール・ドラフト（7 UEC）								
BarMenu_beer_draft_LibertyAleGen	ジェンリバティエールドラフト（7 UEC）								
BarMenu_beer_draft_LibertyAlePike	Pike Liberty Ale Draft (7 UEC)								
BarMenu_beer_draft_LibertyAleTerra	テラ・リバティ・エール・ドラフト（7 UEC）								
BarMenu_beer_draft_SmoltzLight	スモルツ・ライト・ビール・ドラフト(7 UEC)								
BarMenu_beer_draft_smoltz	スモルツ・ドラフト (7 UEC)								
Bartender_Convo_OrderBeer	ビール								
Bartender_Convo_OrderNothing	なし								
Bartender_Convo_OrderWhiskey	ウイスキー								
Bartender_Greet	おい、一杯くれないか？								
Battaglia_Allies	鉱山労働者アマルガメート、人民同盟								
Battaglia_Rivals	ダスター								
Battaglia_convo_followup_more_work	他に何かあるかい？								
Battaglia_convo_shopping	買い物です。								
Battaglia_convo_visiting	ただの訪問。								
Battaglia_convo_wanted_to_see_who_you_are	ちょっと立ち寄って挨拶したかったんだ。								
Battaglia_convo_will_come_back_later	気にしないでください。後でまた来ます。								
Battaglia_convo_work	仕事を探しています。								
BeaconDropoff_ObjectiveMarker	ビーコン								
BlacJac_Allies	アークコープ								
BlacJac_RepUI_Area	スタントンIII、いろいろ								
BlacJac_RepUI_Description	BlacJacは、地元のJac Ngoによってトラムに設立された。無法者の増加に悩む企業のための保護サービスである。ほどなく、このセキュリティグループは効果的であるとの評判を得て、大企業が他の世界の問題を解決するためにBlacJacと契約するようになった。同じ頃、ArcCorpは新たに購入したStanton IIIを監視するために独自の警備隊を設立しようとしていたが、予算の問題で失敗が続き、2906年には他の警備問題で同社を支援していたBlacJacを採用して、この惑星の取り締まりを引き受けることにしたのである。								
BlacJac_RepUI_Focus	民間警備会社								
BlacJac_RepUI_Founded	2885								
BlacJac_RepUI_Headquarters	トラム、アスラ、フェロン星系								
BlacJac_RepUI_Leadership	ジャック・ンゴJr.CEO								
BlacJac_RepUI_Name	ブラックジャック								
BlacJac_ReputationJournal_Agent_Demotion_BodyText	[PH] [Authority] 降格 - 初級エージェント								
BlacJac_ReputationJournal_Agent_Demotion_ShortTitle	[PH] [Authority] 降格 - 初級エージェント								
BlacJac_ReputationJournal_Agent_Demotion_SubHeading	[PH] [Authority] 降格 - 初級エージェント								
BlacJac_ReputationJournal_Agent_Demotion_Title	[PH] [Authority] 降格 - 初級エージェント								
BlacJac_ReputationJournal_Agent_Promotion_BodyText	[PH] [Authority] 昇格 - 上級エージェント								
BlacJac_ReputationJournal_Agent_Promotion_ShortTitle	[PH] [Authority] 昇格 - 上級エージェント								
BlacJac_ReputationJournal_Agent_Promotion_SubHeading	[PH] [Authority] 昇格 - 上級エージェント								
BlacJac_ReputationJournal_Agent_Promotion_Title	[PH] [Authority] 昇格 - 上級エージェント								
BlacJac_ReputationJournal_Applicant_Promotion_BodyText	[PH] [Authority] 保護観察開始								
BlacJac_ReputationJournal_Applicant_Promotion_ShortTitle	[PH] [Authority] 保護観察開始								
BlacJac_ReputationJournal_Applicant_Promotion_SubHeading	[PH] [Authority] 保護観察開始								
BlacJac_ReputationJournal_Applicant_Promotion_Title	[PH] [Authority] 保護観察開始								
BlacJac_ReputationJournal_JuniorAgent_Demotion_BodyText	[PH] [Authority] 予告 - 保護観察へ戻す								
BlacJac_ReputationJournal_JuniorAgent_Demotion_ShortTitle	[PH] [Authority] 予告 - 保護観察へ戻す								
BlacJac_ReputationJournal_JuniorAgent_Demotion_SubHeading	[PH] [Authority] 予告 - 保護観察へ戻す								
BlacJac_ReputationJournal_JuniorAgent_Demotion_Title	[PH] [Authority] 予告 - 保護観察へ戻す								
BlacJac_ReputationJournal_JuniorAgent_Promotion_BodyText	[PH] [Authority] 昇格 -  エージェント								
BlacJac_ReputationJournal_JuniorAgent_Promotion_ShortTitle	[PH] [Authority] 昇格 -  エージェント								
BlacJac_ReputationJournal_JuniorAgent_Promotion_SubHeading	[PH] [Authority] 昇格 -  エージェント								
BlacJac_ReputationJournal_JuniorAgent_Promotion_Title	[PH] [Authority] 昇格 -  エージェント								
BlacJac_ReputationJournal_MasterAgent_Demotion_BodyText	[PH] [Authority] 降格 - ベテランエージェント								
BlacJac_ReputationJournal_MasterAgent_Demotion_ShortTitle	[PH] [Authority] 降格 - ベテランエージェント								
BlacJac_ReputationJournal_MasterAgent_Demotion_SubHeading	[PH] [Authority] 降格 - ベテランエージェント								
BlacJac_ReputationJournal_MasterAgent_Demotion_Title	[PH] [Authority] 降格 - ベテランエージェント								
BlacJac_ReputationJournal_Probation_Demotion_BodyText	[PH] [Authority] 契約解除 - ブラックジャック								
BlacJac_ReputationJournal_Probation_Demotion_ShortTitle	[PH] [Authority] 契約解除								
BlacJac_ReputationJournal_Probation_Demotion_SubHeading	[PH] [Authority] 契約解除								
BlacJac_ReputationJournal_Probation_Demotion_Title	[PH] [Authority] 契約解除 - ブラックジャック								
BlacJac_ReputationJournal_Probation_Promotion_BodyText	[PH] [Authority] Probation complete - Junior Agent								
BlacJac_ReputationJournal_Probation_Promotion_ShortTitle	[PH] [Authority] Probation complete - Junior Agent								
BlacJac_ReputationJournal_Probation_Promotion_SubHeading	[PH] [Authority] Probation complete - Junior Agent								
BlacJac_ReputationJournal_Probation_Promotion_Title	[PH] [Authority] Probation complete - Junior Agent								
BlacJac_ReputationJournal_SeniorAgent_Demotion_BodyText	[PH] [Authority] 降格 - エージェント								
BlacJac_ReputationJournal_SeniorAgent_Demotion_ShortTitle	[PH] [Authority] 降格 - エージェント								
BlacJac_ReputationJournal_SeniorAgent_Demotion_SubHeading	[PH] [Authority] 降格 - エージェント								
BlacJac_ReputationJournal_SeniorAgent_Demotion_Title	[PH] [Authority] 降格 - エージェント								
BlacJac_ReputationJournal_SeniorAgent_Promotion_BodyText	[PH] [Authority] 昇格 -  ベテランエージェント								
BlacJac_ReputationJournal_SeniorAgent_Promotion_ShortTitle	[PH] [Authority] 昇格 -  ベテランエージェント								
BlacJac_ReputationJournal_SeniorAgent_Promotion_SubHeading	[PH] [Authority] 昇格 -  ベテランエージェント								
BlacJac_ReputationJournal_SeniorAgent_Promotion_Title	[PH] [Authority] 昇格 -  ベテランエージェント - ブラックジャック								
BlacJac_ReputationJournal_VeteranAgent_Demotion_BodyText	[PH] [Authority] 降格 - 上級エージェント								
BlacJac_ReputationJournal_VeteranAgent_Demotion_ShortTitle	[PH] [Authority] 降格 - 上級エージェント								
BlacJac_ReputationJournal_VeteranAgent_Demotion_SubHeading	[PH] [Authority] 降格 - 上級エージェント								
BlacJac_ReputationJournal_VeteranAgent_Demotion_Title	[PH] [Authority] 降格 - 上級エージェント								
BlacJac_ReputationJournal_VeteranAgent_Promotion_BodyText	[PH] [Authority] 昇格 -  マスターエージェント								
BlacJac_ReputationJournal_VeteranAgent_Promotion_ShortTitle	[PH] [Authority] 昇格 -  マスターエージェント								
BlacJac_ReputationJournal_VeteranAgent_Promotion_SubHeading	[PH] [Authority] 昇格 -  マスターエージェント								
BlacJac_ReputationJournal_VeteranAgent_Promotion_Title	[PH] [Authority] 昇格 -  マスターエージェント								
BlacJac_Rivals	エックハート・セキュリティ、ノースロック・サービス・グループ								
BoardingGate_Verifying	ベリファイ								
Boarding_Gate_Access_Granted	アクセス許可								
Boarding_Gate_Automatic_door	自動ドア								
Boarding_Gate_Caution	注意事項								
Boarding_Gate_Check_ID	IDをご確認ください。								
Boarding_Gate_Confidential	機密情報								
Boarding_Gate_Press_ID	IDを押して画面を表示								
Boarding_Gate_Proceed	ゲートを通過する								
Boarding_Gate_Thank	ありがとうございました。								
Boarding_Gate_Title	ゲート画面								
Boarding_Gate_Try_Again	再試行								
Boarding_Gate_Wait	確認画面が表示されます								
Boarding_Gate_Welcome	ようこそ								
Boarding_Gate__Access_Denied	アクセス拒否								
BountyHuntersGuild_Allies	アドボカシー、傭兵ギルド								
BountyHuntersGuild_RepUI_Area	UEE								
BountyHuntersGuild_RepUI_Description	バウンティ・ハンターズ・ギルドは、宇宙に無法者が存在する限り、5世紀以上にわたって活動を続けてきた。賞金稼ぎのメンバーに、物資の割引、適切な契約の吟味、キャリアトレーニングなど、さまざまなリソースや特典を提供するサービス組合である。治安部隊は、ギルドの認定プログラムによって維持される高い基準のため、賞金稼ぎにギルドのメンバーを使うことを好む傾向にある。								
BountyHuntersGuild_RepUI_Focus	サービスユニオン、トレーニング、および認定								
BountyHuntersGuild_RepUI_Founded	2387								
BountyHuntersGuild_RepUI_Headquarters	地球、太陽系、ニューヨーク市								
BountyHuntersGuild_RepUI_Leadership	クリスティン・ソボトカ 会長								
BountyHuntersGuild_RepUI_Name	バウンティ・ハンターズ・ギルド								
BountyHuntersGuild_Rivals	該当なし								
Burrito_Name	[PH] ブリトー								
CDF_Allies	"アドボカシー, UEEN"								
CDF_RepUI_Area	UEE								
CDF_RepUI_Description	民兵動員計画の一環として創設された民間防衛軍（Civilian Defense Force: CDF）は、危機や大規模な脅威の際にUEEが支援を求めることのできるボランティアの民兵である。このグループは既存の治安部隊に取って代わるものではなく、緊急時に一時的に活動を強化することを目的としている。CDFのボランティアは、戦闘要員から支援要員まで様々な役割を担っている。								
CDF_RepUI_Focus	緊急支援								
CDF_RepUI_Founded	2947								
CDF_RepUI_Headquarters	スターフォード、ライティフ、ブレーメン星系								
CDF_RepUI_Leadership	ブライス・バレワ（ディレクター）								
CDF_RepUI_Name	民間防衛軍								
CDF_Rivals	XenoThreat								
CThing_LocateObject	パッドを探す								
CThing_Mission_Desc	Release ~mission(NameSave1)\nRelease?~mission(NameSave2)								
CThing_Mission_Obj_1	WIP - 場所に行く								
CThing_Mission_Obj_2_Long	WIP - セキュリティ・フォースを排除する								
CThing_Mission_Obj_2_Short	Security:?%Is								
CThing_Mission_Obj_3_Long	奴らを始末しろ...。								
CThing_Mission_Obj_3_Short	チューブ: %Is								
CThing_Mission_Title	WIP 漏れなくノーノー								
CThing_logofstuff	これは、所持品のログです								
Cano	カノ星系								
Cano1	カノI								
Cano1_Desc	中心星の周りを高速で周回する、潮汐にロックされた中惑星。\n								
Cano2	カーテイナ								
Cano2_Desc	何世紀もの間、地球工学者たちはこの海洋惑星のテラフォームを試みてきたが、比較的厚い大気を変換することが困難であったため、ほとんど成功しなかった。しかし、水の奥深くで微細な生物が発見されたことにより、すべての試みは中止され、カルテイナは保護規制下に置かれた。発展途上にある先住民の生命体を保護するために、惑星への移住は厳しく規制されている。								
Cano3	カノIII								
Cano3_Desc	スモッグ惑星のテラフォーミングを研究する小規模な研究ステーションがある。\n								
Cano4	カノIV								
Cano4_Desc	"赤と茶色の帯で構成された大きなガス惑星。調査によると、直径1,000kmにも及ぶ大規模な嵐が発生している。"								
Cano_AsteroidBelt1	カノベルト・アルファ								
Cano_AsteroidBelt1_Desc	カーテイナのテラフォーミング企業が活動していた頃、採掘が盛んに行われていた小惑星帯。\n								
Cano_Desc	カノは、2463年に発見された4つの惑星からなるUEE星系である。この星系で最も人口が多いのは惑星カルテイナ（カノII）で、深海に生命体が発見されるまでは地球工学者がテラフォーミングを試みていた海洋世界である。それ以来、保護法が施行され、現在の住民は北の氷冠の下のアーコロジーに住むよう制限されている。								
Cano_JumpPoint_Davien	Cano - Davien ジャンプポイント								
Cano_JumpPoint_Davien_Desc	このジャンプポイントは、カノをダヴィアン星系に接続します。								
Cano_JumpPoint_Pyro	カノ - パイロ・ジャンプポイント								
Cano_JumpPoint_Pyro_Desc	このジャンプポイントは、カノを未開拓のパイロ星系に接続します。								
Cano_Star	カノ								
Cano_Star_Desc	G級主系列星。								
Casaba_Salesperson_Conv_001_1	[PH] Line 1: ブラブラブラブラ								
Castra	キャストラ星系								
Castra1	キャストラI								
Castra1_Desc	キャストラの最初の惑星は、大気もなく、大規模な採掘に値する原材料もない。この星系に駐留するUEE海軍は、この死の世界を爆撃に使用しており、「ブルズアイ」というニックネームがついている。								
Castra2	キャスコム								
Castra2_Desc	元々は軍の前進基地と訓練施設として定住していたキャストラIIは、メッサー時代の崩壊後に民間人の居住地として確保された。								
Castra_Desc	海軍の爆撃機の中継地に指定されたキャストラは、2530年から2789年の西安と人類の緊張関係の中で、ペリーラインに沿った重要な軍事的位置を占めていました。アカリ条約がトワ皇帝に承認されると、UEE軍はこの星系をほぼ非武装化し、一般人の居住のために開放した。軍の撤退に伴い、安価な不動産が開発されたため、カストラの人口は急増した。								
Castra_JumpPoint_Hadrian	キャストラ - ハドリアヌス・ジャンプポイント								
Castra_JumpPoint_Hadrian_Desc	キャストラとハドリアヌス星系を結ぶジャンプポイントである。								
Castra_JumpPoint_Nyx	キャストラ - ニュクス・ジャンプポイント								
Castra_JumpPoint_Nyx_Desc	このジャンプポイントは、キャストラと未開拓のニクス星系を結ぶ。								
Castra_JumpPoint_Oso	キャストラ - オソ・ジャンプポイント								
Castra_JumpPoint_Oso_Desc	このジャンプポイントは、キャストラをFair Chance Actで保護されているOso星系に接続します。								
Castra_JumpPoint_Oya	キャストラ - オヤ・ジャンプ・ポイント								
Castra_JumpPoint_Oya_Desc	このジャンプポイントは、キャストラをオヤ星系に接続します。								
Castra_JumpPoint_Pyro	キャストラ - パイロ・ジャンプ・ポイント								
Castra_JumpPoint_Pyro_Desc	このジャンプポイントは、カストラを未請求のパイロ星系に接続します。								
Castra_Star	キャストラ								
Castra_Star_Desc	キャストラ								
ChainedDeliveryModule_Display_001	配達されたもの %ls								
